project,commit,date,month,total_complexity,avg_complexity,function_count,nloc,file_count
sympy,d9d6f26a61f00ec6e263aef2daff1b0f17ce4e71,2007-07-31,2007-07,7761.0,2.711740041928721,2862,25233,158
sympy,2fc106b2805dfb95d270ca8fd7cad6d7f128a6f7,2007-08-31,2007-08,9375.0,2.798507462686567,3350,30320,208
sympy,5a7cfd4804e22bba329d0fe3b39c16cfe67c38cf,2007-09-30,2007-09,10272.0,2.7679870654810026,3711,33336,236
sympy,685fa59dc547c37470848440ce28ba6149232f64,2007-10-31,2007-10,10248.0,2.7570621468926553,3717,33343,238
sympy,2c9556f20f7a9c718909e446ec2f0d0743e62a91,2007-11-29,2007-11,10399.0,2.7503306003702725,3781,33899,247
sympy,407bb111ead8dd4ab32977447db13d091a88d3e4,2007-12-30,2007-12,10273.0,2.788545059717698,3684,33205,248
sympy,053113b0e37527a26d564f2ffd5a84b5866a0336,2008-01-31,2008-01,11131.0,2.768905472636816,4020,36073,268
sympy,b82ff29845578bf7dbafe06a314212abc3748f65,2008-02-02,2008-02,14961.0,2.8340594809623036,5279,50313,344
sympy,cba1d5dab071b76634bf11f3f826c71e90e76b64,2008-03-26,2008-03,11870.0,2.7962308598351,4245,38448,281
sympy,eada23fdf8fa4cbb886f465edb44747942819b54,2008-04-29,2008-04,12118.0,2.7831878732200277,4354,39455,284
sympy,dc61560ea3813ac03fb9bc2c77387e89e16795b4,2008-05-20,2008-05,12449.0,2.8598667585573168,4353,40221,266
sympy,6cb5ce903f8c2953c27fccac103abb6cbab8f7b7,2008-06-27,2008-06,12693.0,2.8749716874292184,4415,41131,267
sympy,a576c5655d86fc87a959692281b49c818d9e1fc4,2008-07-29,2008-07,13801.0,2.8194075587334013,4895,46411,316
sympy,957696d113adce0c8b0f2f787286d9b8e2930aea,2008-08-30,2008-08,14479.0,2.858637709772952,5065,48619,323
sympy,1e12e35c483e518b4b38a6d2ec1486bcab2211a6,2008-09-30,2008-09,14865.0,2.835208849895098,5243,50028,341
